time,value,labelMask
97.0217,-0.439606,0
97.0218,-0.422211,0
97.0219,-0.397491,0
97.022,-0.365906,0
97.0221,-0.318604,0
97.0222,-0.27832,0
97.0223,-0.226898,0
97.0224,-0.174713,0
97.0225,-0.133667,0
97.0226,-0.092163,0
97.0227,-0.062408,0
97.0228,-0.032806,0
97.0229,-0.012054,0
97.023,0.005493,0
97.0231,0.024109,0
97.0232,0.025024,0
97.0233,0.028992,0
97.0234,0.032806,0
97.0235,0.030365,0
97.0236,0.031433,0
97.0237,0.03006,0
97.0238,0.026093,0
97.0239,0.033112,0
97.024,0.037689,0
97.0241,0.03006,0
97.0242,0.036621,0
97.0243,0.035095,0
97.0244,0.037079,0
97.0245,0.034027,0
97.0246,0.030975,0
97.0247,0.027618,0
97.0248,0.032196,0
97.0249,0.032654,0
97.025,0.034943,0
97.0251,0.029144,0
97.0252,0.033112,0
97.0253,0.038605,0
97.0254,0.037231,0
97.0255,0.036316,0
97.0256,0.036163,0
97.0257,0.045166,0
97.0258,0.040894,0
97.0259,0.055237,0
97.026,0.058899,0
97.0261,0.06897,0
97.0262,0.082397,0
97.0263,0.088348,0
97.0264,0.101471,0
97.0265,0.09964,0
97.0266,0.100098,0
97.0267,0.098877,0
97.0268,0.098267,0
97.0269,0.104065,0
97.027,0.117187,1
97.0271,0.133209,1
97.0272,0.156555,1
97.0273,0.205688,1
97.0274,0.273132,1
97.0275,0.337524,1
97.0276,0.415039,1
97.0277,0.506744,1
97.0278,0.59906,1
97.0279,0.702667,1
97.028,0.783386,1
97.0281,0.84259,1
97.0282,0.888367,1
97.0283,0.917053,1
97.0284,0.906677,1
97.0285,0.89386,1
97.0286,0.848236,1
97.0287,0.783691,1
97.0288,0.675201,1
97.0289,0.541992,1
97.029,0.370178,1
97.0291,0.186462,1
97.0292,-0.007477,1
97.0293,-0.199127,1
97.0294,-0.379944,1
97.0295,-0.550232,1
97.0296,-0.69519,1
97.0297,-0.834198,1
97.0298,-0.960693,1
97.0299,-1.062469,1
97.03,-1.109924,1
97.0301,-1.143188,1
97.0302,-1.144714,1
97.0303,-1.122894,1
97.0304,-1.085968,1
97.0305,-1.030884,1
97.0306,-0.948029,1
97.0307,-0.853577,1
97.0308,-0.743256,1
97.0309,-0.640869,1
97.031,-0.52597,1
97.0311,-0.413361,1
97.0312,-0.306854,1
97.0313,-0.215149,1
97.0314,-0.138245,1
97.0315,-0.082245,1
97.0316,-0.040588,1
97.0317,-0.011749,1
97.0318,0.010376,1
97.0319,0.01236,1
97.032,0.021362,0
97.0321,0.019073,0
97.0322,0.017242,0
97.0323,0.014648,0
97.0324,0.017548,0
97.0325,0.015106,0
97.0326,0.01358,0
97.0327,0.007477,0
97.0328,0.009155,0
97.0329,0.016174,0
97.033,0.016022,0
97.0331,0.010071,0
97.0332,0.013275,0
97.0333,0.011902,0
97.0334,0.00824,0
97.0335,0.006256,0
97.0336,0.01236,0
97.0337,0.009613,0
97.0338,0.016174,0
97.0339,0.01358,0
97.034,0.014496,0
97.0341,0.012817,0
97.0342,0.012054,0
97.0343,0.01236,0
97.0344,0.013275,0
97.0345,0.011292,0
97.0346,0.013733,0
97.0347,0.018158,0
97.0348,0.013275,0
97.0349,0.014343,0
97.035,0.013733,0
97.0351,0.022888,0
97.0352,0.018921,0
97.0353,0.018311,0
97.0354,0.019379,0
97.0355,0.029297,0
97.0356,0.038605,0
97.0357,0.06073,0
97.0358,0.069733,0
97.0359,0.079041,0
97.036,0.092163,0
97.0361,0.093079,0
97.0362,0.094147,0
97.0363,0.08316,0
97.0364,0.080109,0
97.0365,0.067444,0
97.0366,0.054626,0
97.0367,0.045471,0
97.0368,0.035706,0
97.0369,0.020142,0
97.037,0.008698,0
97.0371,-0.005188,0
97.0372,-0.013123,0
97.0373,-0.017395,0
97.0374,-0.025635,0
97.0375,-0.031891,0
97.0376,-0.0383,0
97.0377,-0.048676,0
97.0378,-0.052032,0
97.0379,-0.049591,0
97.038,-0.053711,0
97.0381,-0.055389,0
97.0382,-0.050201,0
97.0383,-0.049438,0
97.0384,-0.046234,0
97.0385,-0.045624,0
97.0386,-0.042267,0
97.0387,-0.038757,0
97.0388,-0.034027,0
97.0389,-0.038452,0
97.039,-0.031433,0
97.0391,-0.032349,0
97.0392,-0.028381,0
97.0393,-0.028229,0
97.0394,-0.02655,0
97.0395,-0.024109,0
97.0396,-0.021362,0
97.0397,-0.022278,0
97.0398,-0.021667,0
97.0399,-0.019226,0
97.04,-0.018768,0
97.0401,-0.013733,0
97.0402,-0.011902,0
97.0403,-0.016785,0
97.0404,-0.014038,0
97.0405,-0.01297,0
97.0406,-0.015564,0
97.0407,-0.013885,0
97.0408,-0.010681,0
97.0409,-0.012817,0
97.041,-0.015411,0
97.0411,-0.022125,0
97.0412,-0.017242,0
97.0413,-0.01297,0
97.0414,-0.014496,0
97.0415,-0.01709,0
97.0416,-0.0177,0
97.0417,-0.009003,0
97.0418,-0.015869,0
97.0419,-0.015717,0
97.042,-0.016785,0
97.0421,-0.007324,0
97.0422,-0.006256,0
97.0423,-0.005951,0
97.0424,-0.003357,0
97.0425,0.002441,0
97.0426,0.006104,0
97.0427,0.011902,0
97.0428,0.020752,0
97.0429,0.025177,0
97.043,0.021057,0
97.0431,0.020142,0
97.0432,0.018616,0
97.0433,0.02182,0
97.0434,0.018463,0
97.0435,0.012665,0
97.0436,0.011597,0
97.0437,0.001678,0
97.0438,0.000763,0
97.0439,-0.007477,0
97.044,-0.012054,0
97.0441,-0.027313,0
97.0442,-0.033264,0
97.0443,-0.04425,0
97.0444,-0.054474,0
97.0445,-0.067139,0
97.0446,-0.071716,0
97.0447,-0.082703,0
97.0448,-0.086212,0
97.0449,-0.077667,0
97.045,-0.073242,0
97.0451,-0.070801,0
97.0452,-0.065308,0
97.0453,-0.072937,0
97.0454,-0.072632,0
97.0455,-0.061646,0
97.0456,-0.061493,0
97.0457,-0.054932,0
97.0458,-0.047607,0
97.0459,-0.037231,0
97.046,-0.031433,0
97.0461,-0.029297,0
97.0462,-0.022583,0
97.0463,-0.0177,0
97.0464,-0.010071,0
97.0465,-0.003204,0
97.0466,-0.003204,0
97.0467,0.000153,0
97.0468,-0.004578,0
97.0469,0.0,0
97.047,0.000458,0
97.0471,0.001221,0
97.0472,0.005646,0
97.0473,0.008087,0
97.0474,0.006714,0
97.0475,0.015259,0
97.0476,0.015411,0
97.0477,0.008087,0
97.0478,0.01236,0
97.0479,0.003204,0
97.048,-0.005646,0
97.0481,-0.017853,0
97.0482,-0.02243,0
97.0483,-0.032196,0
97.0484,-0.045929,0
97.0485,-0.054474,0
97.0486,-0.063477,0
97.0487,-0.066223,0
97.0488,-0.072937,0
97.0489,-0.075836,0
97.049,-0.072479,0
97.0491,-0.073242,0
97.0492,-0.072479,0
97.0493,-0.074158,0
97.0494,-0.075073,0
97.0495,-0.069275,0
97.0496,-0.06958,0
97.0497,-0.070343,0
97.0498,-0.076904,0
97.0499,-0.071564,0
97.05,-0.076294,0
97.0501,-0.065918,0
97.0502,-0.061951,0
97.0503,-0.052185,0
97.0504,-0.046082,0
97.0505,-0.036316,0
97.0506,-0.038605,0
97.0507,-0.036621,0
97.0508,-0.027924,0
97.0509,-0.031128,0
97.051,-0.023193,0
97.0511,-0.028534,0
97.0512,-0.024261,0
97.0513,-0.016327,0
97.0514,-0.021057,0
97.0515,-0.019989,0
97.0516,-0.02121,0
97.0517,-0.019073,0
97.0518,-0.02182,0
97.0519,-0.016327,0
97.052,-0.023041,0
97.0521,-0.017853,0
97.0522,-0.025787,0
97.0523,-0.028839,0
97.0524,-0.029297,0
97.0525,-0.027161,0
97.0526,-0.032349,0
97.0527,-0.032196,0
97.0528,-0.035553,0
97.0529,-0.032654,0
97.053,-0.036774,0
97.0531,-0.042725,0
97.0532,-0.039062,0
97.0533,-0.050507,0
97.0534,-0.050354,0
97.0535,-0.048218,0
97.0536,-0.05188,0
97.0537,-0.051575,0
97.0538,-0.046387,0
97.0539,-0.045319,0
97.054,-0.049133,0
97.0541,-0.039978,0
97.0542,-0.041962,0
97.0543,-0.041962,0
97.0544,-0.040894,0
97.0545,-0.036621,0
97.0546,-0.036621,0
97.0547,-0.039215,0
97.0548,-0.033875,0
97.0549,-0.034332,0
97.055,-0.029907,0
97.0551,-0.033722,0
97.0552,-0.044708,0
97.0553,-0.039062,0
97.0554,-0.043945,0
97.0555,-0.035248,0
97.0556,-0.040436,0
97.0557,-0.035095,0
97.0558,-0.033417,0
97.0559,-0.03479,0
97.056,-0.031586,0
97.0561,-0.031128,0
97.0562,-0.022125,0
97.0563,-0.016479,0
97.0564,-0.017548,0
97.0565,-0.012054,0
97.0566,-0.012512,0
97.0567,-0.002441,0
97.0568,-0.004883,0
97.0569,0.000153,0
97.057,-0.002289,0
97.0571,-0.001831,0
97.0572,-0.009766,0
97.0573,-0.009155,0
97.0574,-0.016327,0
97.0575,-0.014496,0
97.0576,-0.023193,0
97.0577,-0.017242,0
97.0578,-0.027008,0
97.0579,-0.027313,0
97.058,-0.027313,0
97.0581,-0.018616,0
97.0582,-0.018005,0
97.0583,-0.011902,0
