time,value,signalMask,labelMask,finalLabel
400.996100,0.048981,0,0,0
400.996200,0.036926,0,0,0
400.996300,0.033112,0,0,0
400.996400,0.032196,0,0,0
400.996500,0.026550,0,0,0
400.996600,0.024719,0,0,0
400.996700,0.015259,0,0,0
400.996800,0.017090,0,0,0
400.996900,0.015869,0,0,0
400.997000,0.009613,0,0,0
400.997100,0.014343,0,0,0
400.997200,0.013428,0,0,0
400.997300,0.010834,0,0,0
400.997400,0.015869,0,0,0
400.997500,0.014648,0,0,0
400.997600,0.017090,0,0,0
400.997700,0.020142,0,0,0
400.997800,0.024567,0,0,0
400.997900,0.027466,0,0,0
400.998000,0.027466,0,0,0
400.998100,0.032196,0,0,0
400.998200,0.034332,0,0,0
400.998300,0.034180,0,0,0
400.998400,0.028381,0,0,0
400.998500,0.024567,0,0,0
400.998600,0.022583,0,0,0
400.998700,0.027313,0,0,0
400.998800,0.029144,0,0,0
400.998900,0.031891,0,0,0
400.999000,0.027466,0,0,0
400.999100,0.027618,0,0,0
400.999200,0.025940,0,0,0
400.999300,0.029755,0,0,0
400.999400,0.032196,0,0,0
400.999500,0.036774,0,0,0
400.999600,0.032654,0,0,0
400.999700,0.032349,0,0,0
400.999800,0.039062,0,0,0
400.999900,0.036316,0,0,0
401.000000,0.043945,0,0,0
401.000100,0.050049,0,0,0
401.000200,0.053864,0,0,0
401.000300,0.055237,0,0,0
401.000400,0.051880,0,0,0
401.000500,0.051422,0,0,0
401.000600,0.052643,0,0,0
401.000700,0.049744,0,0,0
401.000800,0.058746,0,0,0
401.000900,0.056305,0,0,0
401.001000,0.057068,0,0,0
401.001100,0.061035,0,0,0
401.001200,0.064240,0,0,0
401.001300,0.066833,0,0,0
401.001400,0.061798,0,0,0
401.001500,0.051727,0,0,0
401.001600,0.053711,0,0,0
401.001700,0.050049,0,0,0
401.001800,0.050659,0,0,0
401.001900,0.055389,0,0,0
401.002000,0.064240,0,0,0
401.002100,0.059814,0,0,0
401.002200,0.059052,0,0,0
401.002300,0.054016,0,0,0
401.002400,0.049591,0,0,0
401.002500,0.053101,0,0,0
401.002600,0.048218,0,0,0
401.002700,0.051880,0,0,0
401.002800,0.048218,0,0,0
401.002900,0.045929,0,0,0
401.003000,0.041199,0,0,0
401.003100,0.035553,0,0,0
401.003200,0.019073,0,0,0
401.003300,0.014954,0,0,0
401.003400,0.008545,0,0,0
401.003500,0.010834,0,0,0
401.003600,-0.000916,0,0,0
401.003700,-0.005493,0,0,0
401.003800,-0.010376,0,0,0
401.003900,-0.026245,0,0,0
401.004000,-0.034943,0,0,0
401.004100,-0.040436,0,0,0
401.004200,-0.039978,-1,2,1
401.004300,-0.032043,-1,2,1
401.004400,-0.027924,-1,2,1
401.004500,-0.006104,-1,2,1
401.004600,0.032654,-1,2,1
401.004700,0.118103,-1,2,1
401.004800,0.276642,-1,2,1
401.004900,0.538788,-1,2,1
401.005000,0.945892,-1,2,1
401.005100,1.523285,-1,2,1
401.005200,2.274628,-1,2,1
401.005300,3.189392,-1,2,1
401.005400,4.189453,-1,2,1
401.005500,4.999847,-1,2,1
401.005600,4.999847,-1,2,1
401.005700,4.999847,-1,2,1
401.005800,4.999847,-1,2,1
401.005900,4.999847,-1,2,1
401.006000,4.999847,-1,2,1
401.006100,4.999847,-1,2,1
401.006200,4.822083,-1,2,1
401.006300,3.609772,-1,2,1
401.006400,2.190704,-1,2,1
401.006500,0.683594,-1,2,1
401.006600,-0.747375,-1,2,1
401.006700,-2.361603,-1,2,1
401.006800,-3.817749,-1,2,1
401.006900,-5.000000,-1,2,1
401.007000,-5.000000,-1,2,1
401.007100,-5.000000,-1,2,1
401.007200,-5.000000,-1,2,1
401.007300,-5.000000,-1,2,1
401.007400,-5.000000,-1,2,1
401.007500,-5.000000,-1,2,1
401.007600,-5.000000,-1,2,1
401.007700,-5.000000,-1,2,1
401.007800,-4.610901,-1,2,1
401.007900,-3.631287,-1,2,1
401.008000,-2.659149,-1,2,1
401.008100,-1.800232,-1,2,1
401.008200,-1.269531,-1,2,1
401.008300,-0.637054,-1,2,1
401.008400,-0.290833,-1,2,1
401.008500,-0.074768,-1,2,1
401.008600,0.052032,-1,2,1
401.008700,0.122528,-1,2,1
401.008800,0.159149,-1,2,1
401.008900,0.177307,-1,2,1
401.009000,0.178528,0,0,0
401.009100,0.188293,0,0,0
401.009200,0.185547,0,0,0
401.009300,0.190277,0,0,0
401.009400,0.189362,0,0,0
401.009500,0.184326,0,0,0
401.009600,0.198212,0,0,0
401.009700,0.186768,0,0,0
401.009800,0.182648,0,0,0
401.009900,0.177307,0,0,0
401.010000,0.173950,0,0,0
401.010100,0.166931,0,0,0
401.010200,0.167999,0,0,0
401.010300,0.164948,0,0,0
401.010400,0.162659,0,0,0
401.010500,0.154114,0,0,0
401.010600,0.152893,0,0,0
401.010700,0.149231,0,0,0
401.010800,0.142517,0,0,0
401.010900,0.144806,0,0,0
401.011000,0.144806,-1,0,-1
401.011100,0.154114,-1,0,-1
401.011200,0.166931,-1,0,-1
401.011300,0.183105,-1,0,-1
401.011400,0.205078,-1,0,-1
401.011500,0.232086,-1,0,-1
401.011600,0.271759,-1,0,-1
401.011700,0.317383,-1,0,-1
401.011800,0.353851,-1,0,-1
401.011900,0.392914,-1,0,-1
401.012000,0.416260,-1,0,-1
401.012100,0.438232,-1,0,-1
401.012200,0.453796,-1,0,-1
401.012300,0.459137,-1,0,-1
401.012400,0.429382,-1,0,-1
401.012500,0.369110,-1,0,-1
401.012600,0.295868,-1,0,-1
401.012700,0.213318,-1,0,-1
401.012800,0.120697,-1,0,-1
401.012900,0.029297,-1,0,-1
401.013000,-0.059509,-1,0,-1
401.013100,-0.127258,-1,0,-1
401.013200,-0.172577,-1,0,-1
401.013300,-0.191193,-1,0,-1
401.013400,-0.185852,-1,0,-1
401.013500,-0.156250,-1,0,-1
401.013600,-0.080109,-1,0,-1
401.013700,0.042725,-1,0,-1
401.013800,0.222473,-1,0,-1
401.013900,0.445557,-1,0,-1
401.014000,0.715485,-1,0,-1
401.014100,0.982819,-1,0,-1
401.014200,1.218719,-1,0,-1
401.014300,1.405029,-1,0,-1
401.014400,1.523895,-1,0,-1
401.014500,1.577606,-1,0,-1
401.014600,1.578522,-1,0,-1
401.014700,1.519165,-1,0,-1
401.014800,1.394806,-1,0,-1
401.014900,1.199799,-1,0,-1
401.015000,0.922089,-1,0,-1
401.015100,0.578156,-1,0,-1
401.015200,0.186005,-1,0,-1
401.015300,-0.230103,-1,0,-1
401.015400,-0.643463,-1,0,-1
401.015500,-1.000366,-1,0,-1
401.015600,-1.282196,-1,0,-1
401.015700,-1.555481,-1,0,-1
401.015800,-1.707153,-1,0,-1
401.015900,-1.781158,-1,0,-1
401.016000,-1.788635,-1,0,-1
401.016100,-1.738281,-1,0,-1
401.016200,-1.641388,-1,0,-1
401.016300,-1.496277,-1,0,-1
401.016400,-1.309204,-1,0,-1
401.016500,-1.216431,-1,0,-1
401.016600,-0.859222,-1,0,-1
401.016700,-0.609741,-1,0,-1
401.016800,-0.393524,-1,0,-1
401.016900,-0.220947,-1,0,-1
401.017000,-0.087433,-1,0,-1
401.017100,0.001678,-1,0,-1
401.017200,0.053864,-1,0,-1
401.017300,0.089264,-1,0,-1
401.017400,0.109711,-1,0,-1
401.017500,0.110168,0,0,0
401.017600,0.116730,0,0,0
401.017700,0.121002,0,0,0
401.017800,0.113373,0,0,0
401.017900,0.112000,0,0,0
401.018000,0.122375,0,0,0
401.018100,0.114136,0,0,0
401.018200,0.110626,0,0,0
401.018300,0.110168,0,0,0
401.018400,0.114594,0,0,0
401.018500,0.113831,0,0,0
401.018600,0.121765,0,0,0
401.018700,0.124512,0,0,0
401.018800,0.128021,0,0,0
401.018900,0.131378,0,0,0
401.019000,0.134125,0,0,0
401.019100,0.134583,0,0,0
401.019200,0.129700,0,0,0
401.019300,0.127106,0,0,0
401.019400,0.128784,0,0,0
401.019500,0.128937,0,0,0
401.019600,0.125580,0,0,0
401.019700,0.119934,0,0,0
401.019800,0.114899,0,0,0
401.019900,0.106354,0,0,0
401.020000,0.108795,0,0,0
401.020100,0.106812,0,0,0
401.020200,0.104065,0,0,0
401.020300,0.104218,0,0,0
401.020400,0.098114,0,0,0
401.020500,0.097809,0,0,0
401.020600,0.097809,0,0,0
401.020700,0.095367,0,0,0
401.020800,0.090485,0,0,0
401.020900,0.088348,0,0,0
401.021000,0.096130,0,0,0
401.021100,0.089111,0,0,0
401.021200,0.089569,0,0,0
401.021300,0.090179,0,0,0
401.021400,0.091095,0,0,0
401.021500,0.092468,0,0,0
401.021600,0.088501,0,0,0
401.021700,0.087280,0,0,0
401.021800,0.088348,0,0,0
401.021900,0.092926,0,0,0
401.022000,0.089417,0,0,0
401.022100,0.089417,0,0,0
401.022200,0.088348,0,0,0
401.022300,0.083008,0,0,0
401.022400,0.086823,0,0,0
401.022500,0.081787,0,0,0
401.022600,0.078125,0,0,0
401.022700,0.079803,0,0,0
401.022800,0.080109,0,0,0
401.022900,0.076599,0,0,0
401.023000,0.072937,0,0,0
401.023100,0.081177,0,0,0
